2025-09-21 09:29:09 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:audit_logs | IP:127.0.0.1 | DETAILS:Consultation logs (limite: 100)
2025-09-21 09:58:33 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:audit_stats | IP:127.0.0.1 | DETAILS:Consultation statistiques audit
2025-09-21 09:58:33 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:audit_logs | IP:127.0.0.1 | DETAILS:Consultation logs (limite: 100)
2025-09-21 09:58:47 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:ACTION_ADMIN | FUNCTION:users_api | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-21 09:58:47 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:users_list | IP:127.0.0.1 | DETAILS:Consultation liste utilisateurs (17 utilisateurs)
2025-09-21 10:07:07 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:audit_stats | IP:127.0.0.1 | DETAILS:Consultation statistiques audit
2025-09-21 10:07:07 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:audit_logs | IP:127.0.0.1 | DETAILS:Consultation logs (limite: 100)
2025-09-21 10:07:45 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:ACTION_ADMIN | FUNCTION:users_api | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-21 10:07:45 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:users_list | IP:127.0.0.1 | DETAILS:Consultation liste utilisateurs (17 utilisateurs)
2025-09-21 10:08:18 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:search_user | IP:127.0.0.1 | DETAILS:Recherche utilisateur: sam
2025-09-21 10:14:17 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:audit_stats | IP:127.0.0.1 | DETAILS:Consultation statistiques audit
2025-09-21 10:14:17 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:audit_logs | IP:127.0.0.1 | DETAILS:Consultation logs (limite: 100)
